Order ID,Customer ID,Product Name,Price Sold At,Industry,Subgroup,Order Time,Order Date,Store ID
33,357,H&M Blouse,1999,Clothing and Apparel,Women's Clothing,10:26:49,2024-06-28,1
34,384,Lipton Tea,100,Groceries and Food Items,Beverages,13:14:12,2024-06-28,12
35,107,VTech KidiZoom,2999,Toys and Games,Educational Toys,17:52:39,2024-06-28,15
36,713,Gap Kids T-shirt,899,Clothing and Apparel,Children's Clothing,18:47:56,2024-06-28,16
37,362,Resistance Bands,799,Sporting Goods and Outdoor Equipment,Fitness Equipment,23:27:44,2024-06-28,10
38,871,Carrots,60,Groceries and Food Items,Fresh Produce,10:16:57,2024-06-28,1
39,647,Broccoli,80,Groceries and Food Items,Fresh Produce,00:16:37,2024-06-28,9
40,81,Tresemme Hair Spray,299,Health and Beauty Products,Hair Care Products,18:13:34,2024-06-28,7
41,308,Canon EOS R5,289990,Electronics,Cameras,19:31:59,2024-06-28,1
42,665,Settlers of Catan,1999,Toys and Games,Board Games,22:44:56,2024-06-28,6
43,156,Carrots,60,Groceries and Food Items,Fresh Produce,12:30:01,2024-06-28,3
44,367,Bridgestone Tires,7999,Automotive Parts and Accessories,Motorcycle Parts,09:25:33,2024-06-28,17
45,639,Levi's Jeans,2999,Clothing and Apparel,Men's Clothing,08:59:45,2024-06-28,17
46,81,Omega-3 Fish Oil,899,Health and Beauty Products,Vitamins,21:16:54,2024-06-28,8
47,320,Adele - 25,799,Books and Media,Music CDs,15:58:52,2024-06-28,6
48,103,LG Washing Machine,55229.37,Home and Kitchen Appliances,Large Appliances,16:37:21,2024-06-28,13
49,507,Olay Moisturizer,699,Health and Beauty Products,Skincare Products,10:25:42,2024-06-28,8
50,130,Pantene Shampoo,399,Health and Beauty Products,Hair Care Products,07:45:29,2024-06-28,7
51,871,Garmin GPS,18314.08,Automotive Parts and Accessories,Car Accessories,06:14:53,2024-06-29,17
52,48,Resistance Bands,799,Sporting Goods and Outdoor Equipment,Fitness Equipment,11:52:53,2024-06-29,13
53,723,OshKosh B'gosh Overalls,1799,Clothing and Apparel,Children's Clothing,02:59:50,2024-06-29,17
54,794,Bananas,73.72,Groceries and Food Items,Fresh Produce,08:20:01,2024-06-29,18
55,749,Olay Moisturizer,699,Health and Beauty Products,Skincare Products,15:00:57,2024-06-29,17
56,679,Multivitamin Gummies,640.57,Health and Beauty Products,Vitamins,00:01:40,2024-06-29,12
57,112,Cuisinart Food Processor,16999,Home and Kitchen Appliances,Kitchen Gadgets,02:38:02,2024-06-29,11
58,473,The Beatles - Abbey Road,1512.51,Books and Media,Music CDs,23:07:52,2024-06-29,2
59,232,Gap Kids T-shirt,1489.03,Clothing and Apparel,Children's Clothing,00:00:03,2024-06-29,7
60,856,Puma Track Pants,1799,Sporting Goods and Outdoor Equipment,Sports Apparel,11:25:34,2024-06-29,6
61,763,Bananas,50,Groceries and Food Items,Fresh Produce,10:35:19,2024-06-29,6
62,154,Old Navy Shorts,1199,Clothing and Apparel,Children's Clothing,07:09:21,2024-06-29,16
63,144,Inception Blu-ray,634.03,Books and Media,Movies,17:27:32,2024-06-29,7
64,397,Kellogg's Corn Flakes,299,Groceries and Food Items,Packaged Foods,01:09:13,2024-06-29,2
65,225,Shark Upright Vacuum,23052.15,Home and Kitchen Appliances,Cleaning Appliances,16:27:45,2024-06-29,11
66,775,Levi's Jeans,2999,Clothing and Apparel,Men's Clothing,20:01:12,2024-06-29,2
67,563,Tresemme Hair Spray,366.78,Health and Beauty Products,Hair Care Products,14:09:58,2024-06-29,7
68,98,Taylor Swift - Evermore,659.06,Books and Media,Music CDs,15:27:22,2024-06-29,9
69,869,Puma Shorts,1299,Clothing and Apparel,Men's Clothing,19:47:01,2024-06-29,3
70,83,Starbucks Coffee,202.75,Groceries and Food Items,Beverages,17:53:57,2024-06-29,16
71,703,WeatherTech Floor Mats,16634.75,Automotive Parts and Accessories,Car Accessories,11:27:39,2024-06-29,9
72,725,Risk,1499,Toys and Games,Board Games,04:04:01,2024-06-29,3
73,880,Lays Potato Chips,99,Groceries and Food Items,Packaged Foods,11:13:31,2024-06-29,14
74,35,The Great Gatsby,687.66,Books and Media,Fiction Books,08:11:55,2024-06-29,18
75,419,Cuisinart Food Processor,16999,Home and Kitchen Appliances,Kitchen Gadgets,09:44:56,2024-06-29,3
76,141,Coleman Tent,12999,Sporting Goods and Outdoor Equipment,Outdoor Gear,02:44:39,2024-06-29,18
77,230,Kellogg's Corn Flakes,299,Groceries and Food Items,Packaged Foods,17:01:31,2024-06-29,9
78,103,Roomba Robot Vacuum,29999,Home and Kitchen Appliances,Cleaning Appliances,10:20:28,2024-06-29,16
79,152,Bissell Steam Mop,13999,Home and Kitchen Appliances,Cleaning Appliances,19:47:17,2024-06-29,12
80,676,Roomba Robot Vacuum,29999,Home and Kitchen Appliances,Cleaning Appliances,18:01:27,2024-06-29,4
81,462,Yoshimura Exhaust,21999,Automotive Parts and Accessories,Motorcycle Parts,10:43:44,2024-06-29,17
82,323,Risk,1499,Toys and Games,Board Games,07:24:58,2024-06-29,7
83,738,OshKosh B'gosh Overalls,1799,Clothing and Apparel,Children's Clothing,22:57:06,2024-06-29,15
84,848,Anthropologie Throw Pillow,2421.15,Furniture and Home Décor,Home Decor,19:41:10,2024-06-29,12
85,146,Nikon Z6,189990,Electronics,Cameras,16:52:52,2024-06-29,2
86,587,Coca-Cola,53.66,Groceries and Food Items,Beverages,09:01:12,2024-06-29,7
87,758,Dell XPS 13,129999,Electronics,Laptops,14:22:50,2024-06-29,17
88,852,Under Armour Sports Bra,1102.2,Sporting Goods and Outdoor Equipment,Sports Apparel,21:40:50,2024-06-29,12
89,643,Oreo Cookies,159,Groceries and Food Items,Packaged Foods,12:44:43,2024-06-29,14
90,620,Cetaphil Cleanser,799,Health and Beauty Products,Skincare Products,04:40:36,2024-06-29,7
91,721,Olay Moisturizer,699,Health and Beauty Products,Skincare Products,10:51:50,2024-06-29,7
92,591,Cuisinart Food Processor,16999,Home and Kitchen Appliances,Kitchen Gadgets,12:49:54,2024-06-29,6
93,65,Pier 1 Candle,599,Furniture and Home Décor,Home Decor,00:31:00,2024-06-29,17
94,385,Pepsi,35,Groceries and Food Items,Beverages,12:25:15,2024-06-29,2
95,528,Pioneer Car Stereo,12999,Automotive Parts and Accessories,Car Accessories,06:13:20,2024-06-29,5
96,580,Lays Potato Chips,99,Groceries and Food Items,Packaged Foods,05:54:18,2024-06-29,9
97,901,Scrabble,2017.72,Toys and Games,Board Games,04:40:10,2024-06-29,4
98,982,Pepsi,31.16,Groceries and Food Items,Beverages,15:31:44,2024-06-29,12
99,872,Old Navy Shorts,1046.27,Clothing and Apparel,Children's Clothing,08:51:43,2024-06-29,6
100,999,Starbucks Coffee,250,Groceries and Food Items,Beverages,08:20:59,2024-06-29,13
101,349,Dove Hair Mask,499,Health and Beauty Products,Hair Care Products,14:04:24,2024-06-30,8
102,631,Harry Potter,599,Books and Media,Fiction Books,08:00:28,2024-06-30,7
103,493,Calcium Supplements,499,Health and Beauty Products,Vitamins,14:45:24,2024-06-30,7
104,922,Risk,1313.78,Toys and Games,Board Games,02:33:39,2024-06-30,15
105,944,Pantene Shampoo,399,Health and Beauty Products,Hair Care Products,23:28:14,2024-06-30,9
106,254,Calcium Supplements,453.73,Health and Beauty Products,Vitamins,01:47:42,2024-06-30,2
107,182,Puma Shorts,1167.24,Clothing and Apparel,Men's Clothing,11:18:43,2024-06-30,4
108,637,Bissell Steam Mop,13999,Home and Kitchen Appliances,Cleaning Appliances,23:46:09,2024-06-30,10
109,618,La-Z-Boy Armchair,18999,Furniture and Home Décor,Living Room Furniture,03:27:30,2024-06-30,7
110,233,The Godfather DVD,499,Books and Media,Movies,21:47:36,2024-06-30,17
111,717,Nike T-shirt,1541.77,Clothing and Apparel,Men's Clothing,00:20:40,2024-06-30,11
112,270,Pottery Barn Bed Frame,34999,Furniture and Home Décor,Bedroom Furniture,15:37:31,2024-06-30,1
113,443,Vivo V21,28999,Electronics,Mobile Phones,02:12:35,2024-06-30,3
114,734,Treadmill,49999,Sporting Goods and Outdoor Equipment,Fitness Equipment,14:51:09,2024-06-30,5
115,319,To Kill a Mockingbird,349,Books and Media,Fiction Books,05:17:54,2024-06-30,7
116,629,Cetaphil Cleanser,799,Health and Beauty Products,Skincare Products,01:11:35,2024-06-30,4
117,906,Instant Pot,11999,Home and Kitchen Appliances,Kitchen Gadgets,04:09:27,2024-06-30,12
118,222,Olay Moisturizer,699,Health and Beauty Products,Skincare Products,13:49:10,2024-06-30,4
119,512,Coleman Tent,11511.26,Sporting Goods and Outdoor Equipment,Outdoor Gear,18:23:07,2024-06-30,18
120,896,Apples,100,Groceries and Food Items,Fresh Produce,11:53:39,2024-06-30,13
121,238,Carrots,60,Groceries and Food Items,Fresh Produce,04:59:17,2024-06-30,18
122,398,Olay Moisturizer,699,Health and Beauty Products,Skincare Products,11:23:59,2024-06-30,9
123,975,Thule Roof Rack,15999,Automotive Parts and Accessories,Car Accessories,12:04:23,2024-06-30,7
124,511,Oreo Cookies,159,Groceries and Food Items,Packaged Foods,09:59:55,2024-06-30,16
125,722,Broccoli,115.52,Groceries and Food Items,Fresh Produce,19:23:25,2024-06-30,5
126,631,NGK Spark Plugs,799,Automotive Parts and Accessories,Motorcycle Parts,00:21:14,2024-06-30,13
127,661,Apples,100,Groceries and Food Items,Fresh Produce,06:24:17,2024-06-30,2
128,31,Transformers Optimus Prime,2199,Toys and Games,Action Figures,10:12:20,2024-06-30,12
129,182,Nike Running Shoes,6206.32,Sporting Goods and Outdoor Equipment,Sports Apparel,22:40:48,2024-06-30,18
130,283,Bananas,50,Groceries and Food Items,Fresh Produce,10:01:00,2024-06-30,13
131,992,The Godfather DVD,994.09,Books and Media,Movies,09:58:03,2024-06-30,1
132,623,Garmin GPS,37014.71,Automotive Parts and Accessories,Car Accessories,19:11:50,2024-06-30,9
133,395,Carrots,60,Groceries and Food Items,Fresh Produce,04:21:51,2024-06-30,9
134,474,Coca-Cola,33.97,Groceries and Food Items,Beverages,07:34:42,2024-06-30,4
135,997,Gap Kids T-shirt,899,Clothing and Apparel,Children's Clothing,03:30:06,2024-06-30,15
136,824,Adidas Jacket,3499,Clothing and Apparel,Men's Clothing,02:22:40,2024-06-30,3
137,733,To Kill a Mockingbird,445.2,Books and Media,Fiction Books,16:18:58,2024-06-30,12
138,112,Adidas Soccer Jersey,2499,Sporting Goods and Outdoor Equipment,Sports Apparel,06:38:29,2024-06-30,9
139,3,Cetaphil Cleanser,799,Health and Beauty Products,Skincare Products,20:47:41,2024-06-30,15
140,512,LEGO Mindstorms,35999,Toys and Games,Educational Toys,15:35:34,2024-06-30,13
141,831,Taylor Swift - Evermore,799,Books and Media,Music CDs,01:00:14,2024-06-30,5
142,575,Shark Upright Vacuum,38052.33,Home and Kitchen Appliances,Cleaning Appliances,19:44:57,2024-06-30,6
143,545,Calcium Supplements,499,Health and Beauty Products,Vitamins,02:02:52,2024-06-30,6
144,853,The North Face Backpack,8999,Sporting Goods and Outdoor Equipment,Outdoor Gear,17:03:43,2024-06-30,17
145,619,Melissa & Doug Puzzles,1806.16,Toys and Games,Educational Toys,12:03:44,2024-06-30,4
146,628,Puma Shorts,1299,Clothing and Apparel,Men's Clothing,11:39:42,2024-06-30,5
147,28,Adidas Jacket,3499,Clothing and Apparel,Men's Clothing,20:39:33,2024-06-30,2
148,928,Sony Alpha a7 III,199990,Electronics,Cameras,04:14:38,2024-06-30,14
149,393,Carter's Pajamas,2528.37,Clothing and Apparel,Children's Clothing,14:37:53,2024-06-30,8
150,903,Instant Pot,11999,Home and Kitchen Appliances,Kitchen Gadgets,08:36:12,2024-06-30,7
151,896,Neutrogena Face Wash,499,Health and Beauty Products,Skincare Products,17:27:09,2024-07-01,1
152,51,Nike Running Shoes,6999,Sporting Goods and Outdoor Equipment,Sports Apparel,01:40:27,2024-07-01,10
153,935,Dyson Vacuum,34999,Home and Kitchen Appliances,Cleaning Appliances,08:16:23,2024-07-01,13
154,933,Scrabble,1199,Toys and Games,Board Games,15:34:10,2024-07-01,2
155,410,Forever 21 Skirt,2499,Clothing and Apparel,Women's Clothing,15:47:16,2024-07-01,3
156,568,Settlers of Catan,3044.57,Toys and Games,Board Games,00:44:16,2024-07-01,4
157,40,Adidas Soccer Jersey,2499,Sporting Goods and Outdoor Equipment,Sports Apparel,04:56:49,2024-07-01,1
158,254,Yoga Mat,1499,Sporting Goods and Outdoor Equipment,Fitness Equipment,13:43:38,2024-07-01,2
159,627,Gap Kids T-shirt,899,Clothing and Apparel,Children's Clothing,20:15:35,2024-07-01,1
160,342,Apples,100,Groceries and Food Items,Fresh Produce,11:36:23,2024-07-01,7
161,193,L'Oreal Conditioner,667.81,Health and Beauty Products,Hair Care Products,21:53:00,2024-07-01,3
162,146,Cuisinart Food Processor,16999,Home and Kitchen Appliances,Kitchen Gadgets,23:03:28,2024-07-01,6
163,607,Carter's Pajamas,1499,Clothing and Apparel,Children's Clothing,02:42:51,2024-07-01,13
164,480,Transformers Optimus Prime,2199,Toys and Games,Action Figures,14:16:22,2024-07-01,4
165,411,Urban Outfitters Wall Art,2499,Furniture and Home Décor,Home Decor,16:14:42,2024-07-01,2
166,123,Samsung Galaxy S21,69999,Electronics,Mobile Phones,02:43:23,2024-07-01,11
167,755,Old Navy Shorts,1095.49,Clothing and Apparel,Children's Clothing,05:55:19,2024-07-01,14
168,748,Cetaphil Cleanser,799,Health and Beauty Products,Skincare Products,04:51:45,2024-07-01,6
169,985,Avengers: Endgame Blu-ray,1567.13,Books and Media,Movies,12:20:48,2024-07-01,1
170,368,Bissell Steam Mop,13999,Home and Kitchen Appliances,Cleaning Appliances,13:12:36,2024-07-01,18
171,494,Pepsi,29.67,Groceries and Food Items,Beverages,07:09:41,2024-07-01,17
172,462,Instant Pot,10778.13,Home and Kitchen Appliances,Kitchen Gadgets,22:12:11,2024-07-01,10
173,54,The Great Gatsby,399,Books and Media,Fiction Books,23:49:56,2024-07-01,3
174,448,Whirlpool Dryer,24990,Home and Kitchen Appliances,Large Appliances,22:49:48,2024-07-01,2
175,749,Tresemme Hair Spray,299,Health and Beauty Products,Hair Care Products,06:00:05,2024-07-01,11
176,943,Coleman Tent,19706.87,Sporting Goods and Outdoor Equipment,Outdoor Gear,11:44:53,2024-07-01,5
177,434,H&M Blouse,1999,Clothing and Apparel,Women's Clothing,00:32:55,2024-07-01,15
178,404,Multivitamin Gummies,699,Health and Beauty Products,Vitamins,00:33:05,2024-07-01,7
179,690,Puma Shorts,1299,Clothing and Apparel,Men's Clothing,08:29:22,2024-07-01,15
180,154,Puma Shorts,2005.72,Clothing and Apparel,Men's Clothing,23:35:35,2024-07-01,5
181,164,Shark Upright Vacuum,24999,Home and Kitchen Appliances,Cleaning Appliances,16:58:31,2024-07-01,8
182,217,Cetaphil Cleanser,799,Health and Beauty Products,Skincare Products,17:09:50,2024-07-01,13
183,477,Nike Running Shoes,6999,Sporting Goods and Outdoor Equipment,Sports Apparel,08:15:16,2024-07-01,1
184,69,Nikon Z6,189990,Electronics,Cameras,14:59:08,2024-07-01,7
185,742,Cetaphil Cleanser,799,Health and Beauty Products,Skincare Products,10:38:53,2024-07-01,16
186,654,Target Vase,799,Furniture and Home Décor,Home Decor,22:03:16,2024-07-01,2
187,292,The Ordinary Serum,1099,Health and Beauty Products,Skincare Products,01:15:21,2024-07-01,2
188,958,Forever 21 Skirt,2499,Clothing and Apparel,Women's Clothing,01:11:13,2024-07-01,17
189,985,Bananas,50,Groceries and Food Items,Fresh Produce,11:05:38,2024-07-01,6
190,882,Avengers: Endgame Blu-ray,1180.56,Books and Media,Movies,20:46:53,2024-07-01,4
191,430,Garmin GPS,21999,Automotive Parts and Accessories,Car Accessories,13:28:39,2024-07-01,16
192,900,Bananas,50,Groceries and Food Items,Fresh Produce,10:06:57,2024-07-01,11
193,208,1984,299,Books and Media,Fiction Books,02:12:42,2024-07-01,12
194,2,Barilla Pasta,199,Groceries and Food Items,Packaged Foods,23:25:46,2024-07-01,11
195,795,Lipton Tea,100,Groceries and Food Items,Beverages,09:44:33,2024-07-01,2
196,831,Dumbbells,2999,Sporting Goods and Outdoor Equipment,Fitness Equipment,08:18:48,2024-07-01,2
197,376,Kellogg's Corn Flakes,249.54,Groceries and Food Items,Packaged Foods,01:00:49,2024-07-01,18
198,475,Broccoli,80,Groceries and Food Items,Fresh Produce,16:28:18,2024-07-01,3
199,545,Broccoli,70.96,Groceries and Food Items,Fresh Produce,10:39:23,2024-07-01,18
200,616,Dumbbells,2706.79,Sporting Goods and Outdoor Equipment,Fitness Equipment,23:51:53,2024-07-01,10
201,179,Calcium Supplements,428.73,Health and Beauty Products,Vitamins,02:47:52,2024-07-02,13
202,146,Monopoly,1499,Toys and Games,Board Games,20:02:06,2024-07-02,17
203,134,Neutrogena Face Wash,499,Health and Beauty Products,Skincare Products,06:47:11,2024-07-02,4
204,308,LEGO Mindstorms,35999,Toys and Games,Educational Toys,01:14:13,2024-07-02,1
205,668,Ninja Blender,13999,Home and Kitchen Appliances,Kitchen Gadgets,16:44:46,2024-07-02,12
206,771,Zara Dress,4999,Clothing and Apparel,Women's Clothing,15:45:42,2024-07-02,3
207,239,Adele - 25,799,Books and Media,Music CDs,17:54:27,2024-07-02,1
208,636,Apples,100,Groceries and Food Items,Fresh Produce,07:16:33,2024-07-02,9
209,40,Star Wars Darth Vader,1799,Toys and Games,Action Figures,04:31:10,2024-07-02,1
210,32,Vivo V21,25743.64,Electronics,Mobile Phones,08:34:05,2024-07-02,2
211,45,Old Navy Shorts,1102.46,Clothing and Apparel,Children's Clothing,07:29:28,2024-07-02,6
212,276,Beyonce - Lemonade,899,Books and Media,Music CDs,21:35:57,2024-07-02,7
213,352,Apples,100,Groceries and Food Items,Fresh Produce,01:02:50,2024-07-02,13
214,48,LG Washing Machine,31990,Home and Kitchen Appliances,Large Appliances,01:55:58,2024-07-02,9
215,245,The Godfather DVD,615.95,Books and Media,Movies,06:09:10,2024-07-02,2
216,349,Lipton Tea,100,Groceries and Food Items,Beverages,09:32:52,2024-07-02,10
217,319,LG Washing Machine,31990,Home and Kitchen Appliances,Large Appliances,02:47:09,2024-07-02,14
218,665,Bananas,50,Groceries and Food Items,Fresh Produce,10:36:28,2024-07-02,17
219,71,Whirlpool Dryer,24990,Home and Kitchen Appliances,Large Appliances,23:05:38,2024-07-02,10
220,448,Nike T-shirt,1799,Clothing and Apparel,Men's Clothing,04:53:39,2024-07-02,17
221,16,Instant Pot,11999,Home and Kitchen Appliances,Kitchen Gadgets,04:11:36,2024-07-02,12
222,490,OshKosh B'gosh Overalls,1507.02,Clothing and Apparel,Children's Clothing,19:55:00,2024-07-02,14
223,523,The North Face Backpack,8999,Sporting Goods and Outdoor Equipment,Outdoor Gear,00:51:51,2024-07-02,11
224,29,Settlers of Catan,1999,Toys and Games,Board Games,13:14:21,2024-07-02,8
225,440,Zara Dress,4999,Clothing and Apparel,Women's Clothing,22:48:24,2024-07-02,6
226,988,Bosch Dishwasher,57668.05,Home and Kitchen Appliances,Large Appliances,22:07:13,2024-07-02,14
227,966,Frozen DVD,499,Books and Media,Movies,16:44:21,2024-07-02,6
228,750,Multivitamin Gummies,699,Health and Beauty Products,Vitamins,12:01:27,2024-07-02,10
229,982,Yoga Mat,1499,Sporting Goods and Outdoor Equipment,Fitness Equipment,04:04:43,2024-07-02,8
230,133,Lays Potato Chips,164.51,Groceries and Food Items,Packaged Foods,01:19:09,2024-07-02,4
231,10,Broccoli,80,Groceries and Food Items,Fresh Produce,09:45:48,2024-07-02,10
232,223,Zara Dress,4999,Clothing and Apparel,Women's Clothing,07:29:57,2024-07-02,2
233,254,Puma Shorts,1299,Clothing and Apparel,Men's Clothing,02:05:07,2024-07-02,18
234,680,Omega-3 Fish Oil,1150.84,Health and Beauty Products,Vitamins,21:43:50,2024-07-02,1
235,899,LG Washing Machine,26039.96,Home and Kitchen Appliances,Large Appliances,02:17:47,2024-07-02,16
236,152,Beyonce - Lemonade,899,Books and Media,Music CDs,01:45:16,2024-07-02,9
237,719,Cuisinart Food Processor,16999,Home and Kitchen Appliances,Kitchen Gadgets,18:23:15,2024-07-02,6
238,611,Apples,100,Groceries and Food Items,Fresh Produce,12:59:33,2024-07-02,4
239,485,Ninja Blender,13999,Home and Kitchen Appliances,Kitchen Gadgets,06:46:26,2024-07-02,3
240,130,Melissa & Doug Puzzles,1556.64,Toys and Games,Educational Toys,22:29:22,2024-07-02,2
241,672,To Kill a Mockingbird,349,Books and Media,Fiction Books,19:12:23,2024-07-02,9
242,229,The Great Gatsby,604.16,Books and Media,Fiction Books,09:34:22,2024-07-02,3
243,172,Uniqlo Sweater,2999,Clothing and Apparel,Women's Clothing,09:31:02,2024-07-02,10
244,463,Multivitamin Gummies,699,Health and Beauty Products,Vitamins,08:52:14,2024-07-02,3
245,267,Yoga Mat,1499,Sporting Goods and Outdoor Equipment,Fitness Equipment,04:45:43,2024-07-02,14
246,726,Levi's Jeans,2999,Clothing and Apparel,Men's Clothing,09:45:31,2024-07-02,13
247,314,Pantene Shampoo,332.37,Health and Beauty Products,Hair Care Products,15:37:46,2024-07-02,2
248,219,Omega-3 Fish Oil,899,Health and Beauty Products,Vitamins,01:01:44,2024-07-02,1
249,40,Pepsi,44.02,Groceries and Food Items,Beverages,07:43:46,2024-07-02,5
250,540,Adele - 25,1502.34,Books and Media,Music CDs,05:53:12,2024-07-02,5
251,328,Bananas,50,Groceries and Food Items,Fresh Produce,04:27:16,2024-07-03,17
252,594,Ashley Recliner,16999,Furniture and Home Décor,Living Room Furniture,19:15:59,2024-07-03,10
253,287,Adidas Soccer Jersey,2499,Sporting Goods and Outdoor Equipment,Sports Apparel,07:03:20,2024-07-03,6
254,161,Bananas,50,Groceries and Food Items,Fresh Produce,01:09:40,2024-07-03,1
255,353,Carrots,89.22,Groceries and Food Items,Fresh Produce,17:29:12,2024-07-03,4
256,305,The Ordinary Serum,1099,Health and Beauty Products,Skincare Products,20:10:42,2024-07-03,3
257,480,Pepsi,35,Groceries and Food Items,Beverages,14:44:18,2024-07-03,11
258,23,Tresemme Hair Spray,299,Health and Beauty Products,Hair Care Products,11:45:13,2024-07-03,4
259,187,Oreo Cookies,149.67,Groceries and Food Items,Packaged Foods,17:15:55,2024-07-03,17
260,501,Calcium Supplements,499,Health and Beauty Products,Vitamins,22:08:44,2024-07-03,5
261,618,Barilla Pasta,162.72,Groceries and Food Items,Packaged Foods,10:42:36,2024-07-03,6
262,826,Marvel Legends Spider-Man,1499,Toys and Games,Action Figures,20:51:14,2024-07-03,11
263,931,Omega-3 Fish Oil,1350.34,Health and Beauty Products,Vitamins,04:21:31,2024-07-03,3
264,921,Lays Potato Chips,99,Groceries and Food Items,Packaged Foods,01:18:12,2024-07-03,7
265,520,LEGO Mindstorms,31665.61,Toys and Games,Educational Toys,21:28:49,2024-07-03,12
266,601,Samsung Refrigerator,54990,Home and Kitchen Appliances,Large Appliances,11:51:39,2024-07-03,7
267,903,Settlers of Catan,1999,Toys and Games,Board Games,13:09:14,2024-07-03,14
268,251,1984,299,Books and Media,Fiction Books,23:58:31,2024-07-03,2
269,781,Cetaphil Cleanser,799,Health and Beauty Products,Skincare Products,12:02:30,2024-07-03,7
270,63,Canon EOS R5,289990,Electronics,Cameras,03:05:39,2024-07-03,15
271,788,Lipton Tea,100,Groceries and Food Items,Beverages,08:38:21,2024-07-03,16
272,594,Zara Dress,4999,Clothing and Apparel,Women's Clothing,14:58:40,2024-07-03,10
273,720,Beyonce - Lemonade,754.76,Books and Media,Music CDs,15:02:37,2024-07-03,16
274,481,The Godfather DVD,449.36,Books and Media,Movies,02:00:04,2024-07-03,10
275,506,WeatherTech Floor Mats,9999,Automotive Parts and Accessories,Car Accessories,04:36:38,2024-07-03,12
276,435,Cetaphil Cleanser,1342.6,Health and Beauty Products,Skincare Products,21:27:58,2024-07-03,4
277,502,Dove Hair Mask,499,Health and Beauty Products,Hair Care Products,18:10:33,2024-07-03,2
278,130,Tresemme Hair Spray,299,Health and Beauty Products,Hair Care Products,02:47:16,2024-07-03,17
279,507,Apples,100,Groceries and Food Items,Fresh Produce,15:34:27,2024-07-03,2
280,357,Puma Track Pants,1799,Sporting Goods and Outdoor Equipment,Sports Apparel,13:31:52,2024-07-03,16
281,81,Star Wars Darth Vader,1799,Toys and Games,Action Figures,22:47:23,2024-07-03,1
282,125,WeatherTech Floor Mats,8896.72,Automotive Parts and Accessories,Car Accessories,22:29:08,2024-07-03,14
